Order_ID,Date,City,Vehicle_Type,Condition,Distance_km,Estimated_Time_min,Actual_Time_min,Delivery_Cost,Customer_Rating,Delay,Delivery_Status,Month,Weekday
ORD10000,11-02-2026,Delhi,Petrol Bike,Rain,7.9,26,24,41,4,-2,Early,2,Wednesday
ORD10001,24-09-2025,Mumbai,Bicycle,Clear,8.9,45,73,139,1,28,Late,9,Wednesday
ORD10002,24-09-2025,Bangalore,Ev Scooter,Rain,2.4,19,51,74,2,32,Late,9,Wednesday
ORD10003,16-01-2026,Mumbai,Ev Scooter,Rain,7.9,60,99,176,1,39,Late,1,Friday
ORD10004,16-01-2026,Bangalore,Ev Scooter,Clear,6.3,35,44,63,5,9,Late,1,Friday
ORD10005,16-01-2026,Delhi,Ev Scooter,Rain,8.5,44,71,135,1,27,Late,1,Friday
ORD10006,15-09-2025,Bangalore,Petrol Bike,Traffic,4.7,28,29,47,5,1,Late,9,Monday
ORD10007,15-09-2025,Bangalore,Ev Scooter,Rain,11.4,55,92,164,2,37,Late,9,Monday
ORD10008,15-09-2025,Bangalore,Ev Scooter,Clear,3.1,22,22,31,4,0,On-Time,9,Monday
ORD10009,15-09-2025,Mumbai,Ev Scooter,Clear,10.5,52,75,155,2,23,Late,9,Monday
ORD10010,15-09-2025,Delhi,Ev Scooter,Clear,13.2,62,86,182,1,24,Late,9,Monday
ORD10011,15-09-2025,Mumbai,Ev Scooter,Rain,7.8,41,64,128,2,23,Late,9,Monday
ORD10012,15-09-2025,Bangalore,Bicycle,Traffic,12.4,59,78,174,1,19,Late,9,Monday
ORD10013,15-09-2025,Mumbai,Bicycle,Rain,11,54,81,160,2,27,Late,9,Monday
ORD10014,03-11-2025,Bangalore,Ev Scooter,Rain,7.9,46,66,142,2.836847947,20,Late,11,Monday
ORD10015,24-11-2025,Bangalore,Petrol Bike,Traffic,4,26,25,40,5,-1,Early,11,Monday
ORD10016,14-12-2025,Bangalore,Bicycle,Traffic,6,34,42,60,2.836847947,8,Late,12,Sunday
ORD10017,28-09-2025,Bangalore,Bicycle,Traffic,3,22,22,30,4,0,On-Time,9,Sunday
ORD10018,19-01-2026,Delhi,Bicycle,Clear,14.6,68,90,196,1,22,Late,1,Monday
ORD10019,19-01-2026,Mumbai,Petrol Bike,Traffic,5,30,40,50,4,10,Late,1,Monday
ORD10020,20-11-2025,Mumbai,Petrol Bike,Rain,1.8,17,14,18,4,-3,Early,11,Thursday
ORD10021,20-11-2025,Mumbai,Ev Scooter,Clear,9.7,48,76,147,2,28,Late,11,Thursday
ORD10022,20-11-2025,Mumbai,Ev Scooter,Rain,7.4,39,83,124,2.836847947,44,Late,11,Thursday
ORD10023,07-11-2025,Bangalore,Ev Scooter,Rain,6.2,34,59,112,2,25,Late,11,Friday
ORD10024,07-11-2025,Delhi,Bicycle,Rain,14,66,84,190,1,18,Late,11,Friday
ORD10025,10-10-2025,Mumbai,Ev Scooter,Rain,3.9,25,65,89,2,40,Late,10,Friday
ORD10026,10-10-2025,Delhi,Petrol Bike,Clear,1,14,13,10,5,-1,Early,10,Friday
ORD10027,03-09-2025,Delhi,Ev Scooter,Clear,12.7,60,79,177,2,19,Late,9,Wednesday
ORD10028,03-09-2025,Bangalore,Bicycle,Rain,10.3,51,77,153,2,26,Late,9,Wednesday
ORD10029,03-09-2025,Delhi,Ev Scooter,Traffic,1.3,15,20,13,4,5,Late,9,Wednesday
ORD10030,03-09-2025,Bangalore,Petrol Bike,Rain,3.8,25,34,38,4,9,Late,9,Wednesday
ORD10031,03-09-2025,Delhi,Ev Scooter,Rain,5.9,33,69,109,2,36,Late,9,Wednesday
ORD10032,06-11-2025,Bangalore,Ev Scooter,Clear,9.4,47,73,144,1,26,Late,11,Thursday
ORD10033,05-11-2025,Mumbai,Ev Scooter,Rain,6.1,34,56,111,2,22,Late,11,Wednesday
ORD10034,05-11-2025,Delhi,Petrol Bike,Rain,6.6,36,40,66,5,4,Late,11,Wednesday
ORD10035,05-11-2025,Mumbai,Bicycle,Clear,5.3,31,32,53,5,1,Late,11,Wednesday
ORD10036,05-11-2025,Delhi,Bicycle,Rain,10.2,50,74,152,2.836847947,24,Late,11,Wednesday
ORD10037,05-11-2025,Bangalore,Ev Scooter,Rain,1.3,15,42,63,1,27,Late,11,Wednesday
ORD10038,26-01-2026,Delhi,Petrol Bike,Traffic,6.6,36,35,66,4,-1,Early,1,Monday
ORD10039,26-01-2026,Bangalore,Bicycle,Rain,13.8,65,83,188,2,18,Late,1,Monday
ORD10040,26-01-2026,Mumbai,Petrol Bike,Traffic,13.6,64,94,186,2,30,Late,1,Monday
ORD10041,08-02-2026,Mumbai,Ev Scooter,Rain,4.3,27,57,93,1,30,Late,2,Sunday
ORD10042,08-02-2026,Bangalore,Petrol Bike,Traffic,5.6,32,41,56,5,9,Late,2,Sunday
ORD10043,26-02-2026,Delhi,Bicycle,Traffic,7.7,40,46,77,5,6,Late,2,Thursday
ORD10044,26-02-2026,Mumbai,Ev Scooter,Rain,7.1,38,58,121,2,20,Late,2,Thursday
ORD10045,26-02-2026,Mumbai,Ev Scooter,Traffic,9.3,47,62,93,5,15,Late,2,Thursday
